fips,state_abbr,lat,long
01001,AL,32.532237,-86.64644
01003,AL,30.659218,-87.746067
01005,AL,31.870253,-85.405104
01007,AL,33.015893,-87.127148
01009,AL,33.977358,-86.56644
01011,AL,32.101759,-85.717261
01013,AL,31.751667,-86.681969
01015,AL,33.770516,-85.827909
01017,AL,32.915504,-85.394032
01019,AL,34.069515,-85.654242
01021,AL,32.854051,-86.726607
01023,AL,31.990954,-88.248889
01025,AL,31.685521,-87.818624
01027,AL,33.2704,-85.863525
01029,AL,33.671964,-85.516126
01031,AL,31.402258,-85.989602
01033,AL,34.703112,-87.801457
01035,AL,31.430926,-86.988722
01037,AL,32.931445,-86.243482
01039,AL,31.243987,-86.448721
01041,AL,31.732826,-86.319222
01043,AL,34.131923,-86.869267
01045,AL,31.430654,-85.609476
01047,AL,32.33354,-87.114356
01049,AL,34.460929,-85.803992
01051,AL,32.597229,-86.142735
01053,AL,31.122287,-87.16841
01055,AL,34.047641,-86.034263
01057,AL,33.716157,-87.764292
01059,AL,34.441989,-87.842814
01061,AL,31.092382,-85.821022
01063,AL,32.844497,-87.9642
01065,AL,32.752796,-87.623061
01067,AL,31.516978,-85.239971
01069,AL,31.158183,-85.296411
01071,AL,34.764114,-85.980056
01073,AL,33.553444,-86.896536
01075,AL,33.787085,-88.087431
01077,AL,34.904122,-87.650997
01079,AL,34.529776,-87.321865
01081,AL,32.604064,-85.353048
01083,AL,34.810239,-86.981399
01085,AL,32.147888,-86.650586
01087,AL,32.387027,-85.692887
01089,AL,34.764238,-86.55108
01091,AL,32.247591,-87.791091
01093,AL,34.138219,-87.881551
01095,AL,34.309564,-86.321668
01097,AL,30.684572,-88.196568
01099,AL,31.580332,-87.383266
01101,AL,32.202881,-86.204461
01103,AL,34.454484,-86.846402
01105,AL,32.639005,-87.293827
01107,AL,33.296793,-88.096863
01109,AL,31.798651,-85.941604
01111,AL,33.296475,-85.464068
01113,AL,32.289811,-85.18698
01115,AL,33.712963,-86.315663
01117,AL,33.263043,-86.678089
01119,AL,32.597481,-88.200057
01121,AL,33.369314,-86.17593
01123,AL,32.863308,-85.799618
01125,AL,33.29022,-87.522783
01127,AL,33.791558,-87.301094
01129,AL,31.405217,-88.197564
01131,AL,31.990082,-87.304935
01133,AL,34.154566,-87.365346
02013,AK,55.245044,-161.997477
02016,AK,51.948964,179.621188
02020,AK,61.17425,-149.284329
02050,AK,60.929141,-160.152625
02060,AK,58.741647,-156.966909
02068,AK,63.682039,-150.027016
02070,AK,59.543326,-158.267123
02090,AK,64.676044,-146.548159
02100,AK,59.098404,-135.575791
02105,AK,58.253462,-136.320731
02110,AK,58.37291,-134.178445
02122,AK,60.360766,-152.05264
02130,AK,55.449938,-131.106685
02150,AK,57.7044,-153.918372
02158,AK,62.283588,-163.190171
02164,AK,58.108507,-156.413413
02170,AK,62.279094,-149.619094
02180,AK,64.783686,-164.188912
02185,AK,69.449343,-153.47283
02188,AK,67.005066,-160.021086
02195,AK,57.112458,-133.008598
02198,AK,55.682773,-133.162389
02220,AK,57.193204,-135.367396
02230,AK,59.560379,-135.338279
02240,AK,63.864997,-143.218628
02261,AK,61.349843,-145.023109
02275,AK,56.317416,-132.343978
02282,AK,60.017453,-140.416942
02290,AK,65.375727,-151.57785
04001,AZ,35.385084,-109.490172
04003,AZ,31.840129,-109.775163
04005,AZ,35.829692,-111.773728
04007,AZ,33.789618,-110.81187
04009,AZ,32.931828,-109.87831
04011,AZ,33.238872,-109.242323
04012,AZ,33.72761,-114.038806
04013,AZ,33.345176,-112.49893
04015,AZ,35.717705,-113.749689
04017,AZ,35.390785,-110.321025
04019,AZ,32.128043,-111.783657
04021,AZ,32.918521,-111.36634
04023,AZ,31.525733,-110.845228
04025,AZ,34.631071,-112.577225
04027,AZ,32.773942,-113.910905
05001,AR,34.28957,-91.376547
05003,AR,33.190835,-91.772267
05005,AR,36.280268,-92.329949
05007,AR,36.337819,-94.256298
05009,AR,36.304299,-93.079236
05011,AR,33.466549,-92.169156
05013,AR,33.56046,-92.513879
05015,AR,36.33737,-93.540972
05017,AR,33.267139,-91.297158
05019,AR,34.053316,-93.176208
05021,AR,36.367302,-90.418704
05023,AR,35.566315,-92.05995
05025,AR,33.893201,-92.188714
05027,AR,33.223038,-93.232843
05029,AR,35.265702,-92.689248
05031,AR,35.827729,-90.631421
05033,AR,35.583011,-94.236219
05035,AR,35.211879,-90.315332
05037,AR,35.285692,-90.763984
05039,AR,33.967823,-92.653999
05041,AR,33.828752,-91.244103
05043,AR,33.587242,-91.722778
05045,AR,35.146548,-92.336928
05047,AR,35.508558,-93.887665
05049,AR,36.383619,-91.819664
05051,AR,34.578852,-93.146932
05053,AR,34.285568,-92.422979
05055,AR,36.120607,-90.566346
05057,AR,33.735953,-93.664355
05059,AR,34.315177,-92.944147
