date,iso2,cumulative_cases,cumulative_negative_tests,cumulative_pending_tests,currently_hospitalized,currently_in_icu,cumulative_in_icu,currently_on_ventilator,cumulative_on_ventilator,cumulative_recovered,cumulative_deaths,cumulative_hospitalized,cumulative_test_results,deaths,hospitalized,cases,negative_tests,test_results,in_icu,on_ventilator,recovered
2020-01-22,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-22,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-23,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-23,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-24,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-24,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-25,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-25,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-26,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-26,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-27,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-27,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-28,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-28,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-29,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-29,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-30,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-30,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-31,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-01-31,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-01,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-01,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-02,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-02,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-03,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-03,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-04,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-04,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-05,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-05,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-06,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-06,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-07,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-07,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-08,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-08,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-09,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-09,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-10,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-10,US-NJ,,,,,,,,,,0.0,,0.0,0,0,0,0,0,,,
2020-02-10,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-11,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-11,US-NJ,,,,,,,,,,0.0,,0.0,0,0,0,0,0,,,
2020-02-11,US-WA,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-12,US-MA,,,,,,,,,,,,0.0,0,0,0,0,0,,,
2020-02-12,US-NJ,,,,,,,,,,0.0,,0.0,0,0,0,0,0,,,
