fips,county_code,name,name_long,population,state_code_int,state_code_iso,state_code_postal,timezone,lat,long
01001,1,Autauga County,"Autauga County, AL",55869.0,1,US-AL,AL,America/Chicago,32.53,-86.64
01003,3,Baldwin County,"Baldwin County, AL",223234.0,1,US-AL,AL,America/Chicago,30.73,-87.72
01005,5,Barbour County,"Barbour County, AL",24686.0,1,US-AL,AL,America/Chicago,31.87,-85.39
01007,7,Bibb County,"Bibb County, AL",22394.0,1,US-AL,AL,America/Chicago,33.0,-87.13
01009,9,Blount County,"Blount County, AL",57826.0,1,US-AL,AL,America/Chicago,33.98,-86.57
01011,11,Bullock County,"Bullock County, AL",10101.0,1,US-AL,AL,America/Chicago,32.1,-85.72
01013,13,Butler County,"Butler County, AL",19448.0,1,US-AL,AL,America/Chicago,31.75,-86.68
01015,15,Calhoun County,"Calhoun County, AL",113605.0,1,US-AL,AL,America/Chicago,33.77,-85.83
01017,17,Chambers County,"Chambers County, AL",33254.0,1,US-AL,AL,America/Chicago,32.91,-85.39
01019,19,Cherokee County,"Cherokee County, AL",26196.0,1,US-AL,AL,America/Chicago,34.18,-85.6
01021,21,Chilton County,"Chilton County, AL",44428.0,1,US-AL,AL,America/Chicago,32.85,-86.72
01023,23,Choctaw County,"Choctaw County, AL",12589.0,1,US-AL,AL,America/Chicago,32.02,-88.26
01025,25,Clarke County,"Clarke County, AL",23622.0,1,US-AL,AL,America/Chicago,31.68,-87.83
01027,27,Clay County,"Clay County, AL",13235.0,1,US-AL,AL,America/Chicago,33.27,-85.86
01029,29,Cleburne County,"Cleburne County, AL",14910.0,1,US-AL,AL,America/Chicago,33.67,-85.52
01031,31,Coffee County,"Coffee County, AL",52342.0,1,US-AL,AL,America/Chicago,31.4,-85.99
01033,33,Colbert County,"Colbert County, AL",55241.0,1,US-AL,AL,America/Chicago,34.7,-87.81
01035,35,Conecuh County,"Conecuh County, AL",12067.0,1,US-AL,AL,America/Chicago,31.43,-86.99
01037,37,Coosa County,"Coosa County, AL",10663.0,1,US-AL,AL,America/Chicago,32.94,-86.25
01039,39,Covington County,"Covington County, AL",37049.0,1,US-AL,AL,America/Chicago,31.25,-86.45
01041,41,Crenshaw County,"Crenshaw County, AL",13772.0,1,US-AL,AL,America/Chicago,31.73,-86.31
01043,43,Cullman County,"Cullman County, AL",83768.0,1,US-AL,AL,America/Chicago,34.13,-86.87
01045,45,Dale County,"Dale County, AL",49172.0,1,US-AL,AL,America/Chicago,31.43,-85.61
01047,47,Dallas County,"Dallas County, AL",37196.0,1,US-AL,AL,America/Chicago,32.33,-87.11
01049,49,DeKalb County,"DeKalb County, AL",71513.0,1,US-AL,AL,America/Chicago,34.46,-85.8
01051,51,Elmore County,"Elmore County, AL",81209.0,1,US-AL,AL,America/Chicago,32.6,-86.15
01053,53,Escambia County,"Escambia County, AL",36633.0,1,US-AL,AL,America/Chicago,31.13,-87.16
01055,55,Etowah County,"Etowah County, AL",102268.0,1,US-AL,AL,America/Chicago,34.05,-86.03
01057,57,Fayette County,"Fayette County, AL",16302.0,1,US-AL,AL,America/Chicago,33.72,-87.74
01059,59,Franklin County,"Franklin County, AL",31362.0,1,US-AL,AL,America/Chicago,34.44,-87.84
01061,61,Geneva County,"Geneva County, AL",26271.0,1,US-AL,AL,America/Chicago,31.09,-85.84
01063,63,Greene County,"Greene County, AL",8111.0,1,US-AL,AL,America/Chicago,32.85,-87.95
01065,65,Hale County,"Hale County, AL",14651.0,1,US-AL,AL,America/Chicago,32.76,-87.63
01067,67,Henry County,"Henry County, AL",17205.0,1,US-AL,AL,America/Chicago,31.51,-85.24
01069,69,Houston County,"Houston County, AL",105882.0,1,US-AL,AL,America/Chicago,31.15,-85.3
01071,71,Jackson County,"Jackson County, AL",51626.0,1,US-AL,AL,America/Chicago,34.78,-86.0
01073,73,Jefferson County,"Jefferson County, AL",658573.0,1,US-AL,AL,America/Chicago,33.55,-86.9
01075,75,Lamar County,"Lamar County, AL",13805.0,1,US-AL,AL,America/Chicago,33.78,-88.1
01077,77,Lauderdale County,"Lauderdale County, AL",92729.0,1,US-AL,AL,America/Chicago,34.9,-87.65
01079,79,Lawrence County,"Lawrence County, AL",32924.0,1,US-AL,AL,America/Chicago,34.52,-87.31
01081,81,Lee County,"Lee County, AL",164542.0,1,US-AL,AL,America/Chicago,32.6,-85.36
01083,83,Limestone County,"Limestone County, AL",98915.0,1,US-AL,AL,America/Chicago,34.81,-86.98
01085,85,Lowndes County,"Lowndes County, AL",9726.0,1,US-AL,AL,America/Chicago,32.15,-86.65
01087,87,Macon County,"Macon County, AL",18068.0,1,US-AL,AL,America/Chicago,32.39,-85.69
01089,89,Madison County,"Madison County, AL",372909.0,1,US-AL,AL,America/Chicago,34.76,-86.55
01091,91,Marengo County,"Marengo County, AL",18863.0,1,US-AL,AL,America/Chicago,32.25,-87.79
01093,93,Marion County,"Marion County, AL",29709.0,1,US-AL,AL,America/Chicago,34.14,-87.89
01095,95,Marshall County,"Marshall County, AL",96774.0,1,US-AL,AL,America/Chicago,34.37,-86.31
01097,97,Mobile County,"Mobile County, AL",413210.0,1,US-AL,AL,America/Chicago,30.79,-88.21
01099,99,Monroe County,"Monroe County, AL",20733.0,1,US-AL,AL,America/Chicago,31.57,-87.37
01101,101,Montgomery County,"Montgomery County, AL",226486.0,1,US-AL,AL,America/Chicago,32.22,-86.21
01103,103,Morgan County,"Morgan County, AL",119679.0,1,US-AL,AL,America/Chicago,34.45,-86.85
01105,105,Perry County,"Perry County, AL",8923.0,1,US-AL,AL,America/Chicago,32.64,-87.29
01107,107,Pickens County,"Pickens County, AL",19930.0,1,US-AL,AL,America/Chicago,33.28,-88.09
01109,109,Pike County,"Pike County, AL",33114.0,1,US-AL,AL,America/Chicago,31.8,-85.94
01111,111,Randolph County,"Randolph County, AL",22722.0,1,US-AL,AL,America/Chicago,33.29,-85.46
01113,113,Russell County,"Russell County, AL",57961.0,1,US-AL,AL,America/Chicago,32.29,-85.18
01115,115,St. Clair County,"St. Clair County, AL",89512.0,1,US-AL,AL,America/Chicago,33.72,-86.31
01117,117,Shelby County,"Shelby County, AL",217702.0,1,US-AL,AL,America/Chicago,33.26,-86.66
01119,119,Sumter County,"Sumter County, AL",12427.0,1,US-AL,AL,America/Chicago,32.59,-88.2
01121,121,Talladega County,"Talladega County, AL",79978.0,1,US-AL,AL,America/Chicago,33.38,-86.17
01123,123,Tallapoosa County,"Tallapoosa County, AL",40367.0,1,US-AL,AL,America/Chicago,32.86,-85.8
01125,125,Tuscaloosa County,"Tuscaloosa County, AL",209355.0,1,US-AL,AL,America/Chicago,33.29,-87.53
01127,127,Walker County,"Walker County, AL",63521.0,1,US-AL,AL,America/Chicago,33.8,-87.3
01129,129,Washington County,"Washington County, AL",16326.0,1,US-AL,AL,America/Chicago,31.41,-88.21
01131,131,Wilcox County,"Wilcox County, AL",10373.0,1,US-AL,AL,America/Chicago,31.99,-87.31
01133,133,Winston County,"Winston County, AL",23629.0,1,US-AL,AL,America/Chicago,34.15,-87.37
02013,13,Aleutians East Borough,"Aleutians East Borough, AK",3337.0,2,US-AK,AK,America/Anchorage,55.37,-161.98
02016,16,Aleutians West Census Area,"Aleutians West Census Area, AK",5634.0,2,US-AK,AK,America/Swift_Current,52.8,-106.58
02020,20,Anchorage Municipality,"Anchorage Municipality, AK",288000.0,2,US-AK,AK,America/Anchorage,61.15,-149.11
02050,50,Bethel Census Area,"Bethel Census Area, AK",18386.0,2,US-AK,AK,America/Anchorage,60.91,-159.82
02060,60,Bristol Bay Borough,"Bristol Bay Borough, AK",836.0,2,US-AK,AK,America/Anchorage,58.74,-156.7
02068,68,Denali Borough,"Denali Borough, AK",2097.0,2,US-AK,AK,America/Anchorage,63.67,-150.01
02070,70,Dillingham Census Area,"Dillingham Census Area, AK",4916.0,2,US-AK,AK,America/Anchorage,59.8,-158.24
02090,90,Fairbanks North Star Borough,"Fairbanks North Star Borough, AK",96849.0,2,US-AK,AK,America/Anchorage,64.81,-146.57
02100,100,Haines Borough,"Haines Borough, AK",2530.0,2,US-AK,AK,America/Juneau,59.12,-135.5
02105,105,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, AK",2148.0,2,US-AK,AK,America/Juneau,58.29,-135.64
02110,110,Juneau City and Borough,"Juneau City and Borough, AK",31974.0,2,US-AK,AK,America/Juneau,58.45,-134.17
02122,122,Kenai Peninsula Borough,"Kenai Peninsula Borough, AK",58708.0,2,US-AK,AK,America/Anchorage,60.27,-151.57
02130,130,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, AK",13901.0,2,US-AK,AK,America/Sitka,55.59,-130.93
02150,150,Kodiak Island Borough,"Kodiak Island Borough, AK",12998.0,2,US-AK,AK,America/Anchorage,57.68,-153.78
02158,158,Kusilvak Census Area,"Kusilvak Census Area, AK",8314.0,2,US-AK,AK,America/Nome,62.16,-163.38
02164,164,Lake and Peninsula Borough,"Lake and Peninsula Borough, AK",1592.0,2,US-AK,AK,America/Anchorage,58.65,-156.19
02170,170,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, AK",108317.0,2,US-AK,AK,America/Anchorage,62.32,-149.57
02180,180,Nome Census Area,"Nome Census Area, AK",10004.0,2,US-AK,AK,America/Nome,64.91,-164.03
02185,185,North Slope Borough,"North Slope Borough, AK",9832.0,2,US-AK,AK,America/Anchorage,69.31,-153.48
02188,188,Northwest Arctic Borough,"Northwest Arctic Borough, AK",7621.0,2,US-AK,AK,America/Anchorage,67.05,-159.72
02195,195,Petersburg Borough,"Petersburg Borough, AK",3266.0,2,US-AK,AK,America/Sitka,57.12,-132.93
02198,198,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, AK",6203.0,2,US-AK,AK,America/Sitka,55.8,-133.02
02220,220,Sitka City and Borough,"Sitka City and Borough, AK",8493.0,2,US-AK,AK,America/Sitka,57.24,-135.32
02230,230,Skagway Municipality,"Skagway Municipality, AK",1183.0,2,US-AK,AK,America/Juneau,59.56,-135.34
02240,240,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, AK",6893.0,2,US-AK,AK,America/Anchorage,63.88,-143.21
02261,261,Valdez-Cordova Census Area,"Valdez-Cordova Census Area, AK",9202.0,2,US-AK,AK,America/Anchorage,61.56,-144.47
02275,275,Wrangell City and Borough,"Wrangell City and Borough, AK",2502.0,2,US-AK,AK,America/Sitka,56.33,-132.02
02282,282,Yakutat City and Borough,"Yakutat City and Borough, AK",579.0,2,US-AK,AK,America/Yakutat,59.89,-140.36
02290,290,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, AK",5230.0,2,US-AK,AK,America/Anchorage,65.51,-151.39
04001,1,Apache County,"Apache County, AZ",71887.0,4,US-AZ,AZ,America/Denver,35.4,-109.49
04003,3,Cochise County,"Cochise County, AZ",125922.0,4,US-AZ,AZ,America/Phoenix,31.88,-109.75
04005,5,Coconino County,"Coconino County, AZ",143476.0,4,US-AZ,AZ,America/Phoenix,35.84,-111.77
04007,7,Gila County,"Gila County, AZ",54018.0,4,US-AZ,AZ,America/Phoenix,33.8,-110.81
04009,9,Graham County,"Graham County, AZ",38837.0,4,US-AZ,AZ,America/Phoenix,32.93,-109.89
04011,11,Greenlee County,"Greenlee County, AZ",9498.0,4,US-AZ,AZ,America/Phoenix,33.22,-109.24
04012,12,La Paz County,"La Paz County, AZ",21108.0,4,US-AZ,AZ,America/Phoenix,33.73,-113.98
04013,13,Maricopa County,"Maricopa County, AZ",4485414.0,4,US-AZ,AZ,America/Phoenix,33.35,-112.49
04015,15,Mohave County,"Mohave County, AZ",212181.0,4,US-AZ,AZ,America/Phoenix,35.7,-113.76
04017,17,Navajo County,"Navajo County, AZ",110924.0,4,US-AZ,AZ,America/Denver,35.4,-110.32
04019,19,Pima County,"Pima County, AZ",1047279.0,4,US-AZ,AZ,America/Phoenix,32.1,-111.79
04021,21,Pinal County,"Pinal County, AZ",462789.0,4,US-AZ,AZ,America/Phoenix,32.9,-111.34
04023,23,Santa Cruz County,"Santa Cruz County, AZ",46498.0,4,US-AZ,AZ,America/Phoenix,31.53,-110.85
04025,25,Yavapai County,"Yavapai County, AZ",235099.0,4,US-AZ,AZ,America/Phoenix,34.6,-112.55
04027,27,Yuma County,"Yuma County, AZ",213787.0,4,US-AZ,AZ,America/Phoenix,32.77,-113.91
05001,1,Arkansas County,"Arkansas County, AR",17486.0,5,US-AR,AR,America/Chicago,34.29,-91.37
