iso2,admin_level,name,osm_id,population,timezone,lat,long,wikidata_id,wikipedia_id,iso1
AD-02,7,Canillo,2804754,4103.0,Europe/Andorra,42.58,1.66,Q24260,ca:Canillo,AD
AD-03,7,Encamp,2804755,12338.0,Europe/Andorra,42.53,1.65,Q24269,ca:Encamp,AD
AD-04,7,La Massana,2804757,10076.0,Europe/Andorra,42.56,1.48,Q24276,ca:La Massana,AD
AD-05,7,Ordino,2804758,4545.0,Europe/Andorra,42.61,1.53,Q24272,ca:Ordino,AD
AD-06,7,Sant Julià de Lòria,2804759,9379.0,Europe/Andorra,42.46,1.49,Q24282,ca:Sant Julià de Lòria,AD
AD-07,7,Andorra la Vella,2804753,22615.0,Europe/Andorra,42.5,1.51,Q2522163,ca:Andorra la Vella,AD
AD-08,7,Escaldes-Engordany,2804756,14521.0,Europe/Andorra,42.49,1.59,Q24286,ca:Escaldes-Engordany,AD
AE-AJ,4,Ajman,3766482,,Asia/Dubai,25.19,55.75,Q159477,en:Emirate of Ajman,AE
AE-AZ,4,Abu Dhabi,3766481,2908173.0,Asia/Dubai,23.66,54.05,Q187712,,AE
AE-DU,4,Dubai,3766483,3355900.0,Asia/Dubai,24.94,55.39,Q613,ar:دبي,AE
AE-FU,4,Fujairah,3766484,225360.0,Asia/Dubai,25.34,56.2,Q4091,ar:فجيرة,AE
AE-RK,4,Ras al-Khaimah,3766485,241000.0,Asia/Dubai,25.45,56.03,Q170024,,AE
AE-SH,4,Sharjah,3766486,895252.0,Asia/Dubai,25.16,55.81,Q188810,ar:الشارقة,AE
AE-UQ,4,Umm al-Quwain,3766487,,Asia/Dubai,25.47,55.75,Q175021,,AE
AF-BAL,4,Balkh,1674795,,Asia/Kabul,36.67,67.08,Q121104,en:Balkh Province,AF
AF-BAM,4,Bamyan,1674849,492400.0,Asia/Kabul,34.81,67.23,Q171382,ps:باميان ولايت,AF
AF-BDG,4,Badghis,1674811,500000.0,Asia/Kabul,35.14,63.74,Q172052,en:Badghis Province,AF
AF-BDS,4,Badakhshan,1674535,823000.0,Asia/Dushanbe,37.04,71.46,Q165376,en:Badakhshan Province,AF
AF-BGL,4,Baghlan,1674785,,Asia/Kabul,35.8,68.91,Q170309,ps:بغلان ولايت,AF
AF-DAY,4,Daykundi,1674833,417300.0,Asia/Kabul,33.77,66.15,Q181220,ps:دايکندي ولايت,AF
AF-FRA,4,Farah,1674802,,Asia/Kabul,32.62,62.3,Q180330,en:Farah Province,AF
AF-FYB,4,Faryab,1674814,,Asia/Kabul,36.06,64.87,Q173830,en:Faryab Province,AF
AF-GHA,4,Ghazni,1675048,,Asia/Kabul,33.32,67.81,Q180415,en:Ghazni Province,AF
AF-GHO,4,Ghor,1674816,680200.0,Asia/Kabul,34.18,64.93,Q186392,fa:ولایت غور,AF
AF-HEL,4,Helmand,1674573,859600.0,Asia/Kabul,31.11,64.03,Q173821,en:Helmand Province,AF
AF-HER,4,Herat,1674803,1762157.0,Asia/Kabul,34.2,62.13,Q182844,en:Herat Province,AF
AF-JOW,4,Jowzjan,1674800,,Asia/Kabul,36.82,65.85,Q183036,en:Jowzjan Province,AF
AF-KAB,4,Kabul,1674876,4012000.0,Asia/Kabul,34.56,69.33,Q188933,ps:کابل ولايت,AF
AF-KAN,4,Kandahar,1674567,,Asia/Kabul,31.04,65.71,Q173808,ps:کندهار ولايت,AF
AF-KAP,4,Kapisa,1674767,399500.0,Asia/Kabul,34.96,69.62,Q173816,en:Kapisa Province,AF
AF-KDZ,4,Kunduz,1674564,820000.0,Asia/Kabul,36.84,68.75,Q186418,en:Kunduz Province,AF
AF-KHO,4,Khost,1674878,,Asia/Kabul,33.38,69.83,Q185752,en:Khost Province,AF
AF-KNR,4,Kunar,1674607,578500.0,Asia/Kabul,34.97,71.1,Q188147,en:Kunar Province,AF
AF-LAG,4,Laghman,1674766,4035000.0,Asia/Kabul,34.76,70.16,Q185442,ps:لغمان ولايت,AF
AF-LOG,4,Logar,1674874,,Asia/Kabul,34.01,69.17,Q6667298,ps:لوگر ولايت,AF
AF-NAN,4,Nangarhar,1674770,,Asia/Kabul,34.27,70.47,Q178471,ps:ننگرهار ولايت,AF
AF-NIM,4,Nimruz,1674664,149000.0,Asia/Kabul,30.83,62.34,Q183021,en:Nimruz Province,AF
AF-NUR,4,Nuristan,1674544,,Asia/Kabul,35.42,70.79,Q167485,en:Nuristan Province,AF
AF-PAN,4,Panjshir,1675032,,Asia/Kabul,35.45,69.8,Q181235,ps:پنجشېر ولايت,AF
AF-PAR,4,Parwan,1674782,664502.0,Asia/Kabul,34.96,68.88,Q188157,en:Parwan Province,AF
AF-PIA,4,Paktia,1674882,4992000.0,Asia/Kabul,33.63,69.39,Q182493,en:Paktia Province,AF
AF-PKA,4,Paktika,1675047,393800.0,Asia/Kabul,32.48,68.74,Q185575,en:Paktika Province,AF
AF-SAM,4,Samangan,1674791,,Asia/Kabul,35.97,67.7,Q183015,en:Samangan Province,AF
AF-SAR,4,Sar-e Pol,1674994,532000.0,Asia/Kabul,35.71,66.14,Q182487,en:Sar-e Pol Province,AF
AF-TAK,4,Takhar,1674541,,Asia/Kabul,36.7,69.78,Q186395,en:Takhar Province,AF
AF-URU,4,Urōzgān,1674993,,Asia/Kabul,32.99,66.11,Q183028,en:Urozgan Province,AF
AF-WAR,4,Maidan Wardak,1759757,540100.0,Asia/Kabul,34.3,68.22,Q183056,en:Maidan Wardak Province,AF
AF-ZAB,4,Zabul,1674841,,Asia/Kabul,32.2,67.15,Q139126,en:Zabul Province,AF
