date,fips,county,state,cumulative_cases,cumulative_deaths
2020-01-21,53061,Snohomish,Washington,1,0
2020-01-22,53061,Snohomish,Washington,1,0
2020-01-23,53061,Snohomish,Washington,1,0
2020-01-24,17031,Cook,Illinois,1,0
2020-01-24,53061,Snohomish,Washington,1,0
2020-01-25,06059,Orange,California,1,0
2020-01-25,17031,Cook,Illinois,1,0
2020-01-25,53061,Snohomish,Washington,1,0
2020-01-26,04013,Maricopa,Arizona,1,0
2020-01-26,06037,Los Angeles,California,1,0
2020-01-26,06059,Orange,California,1,0
2020-01-26,17031,Cook,Illinois,1,0
2020-01-26,53061,Snohomish,Washington,1,0
2020-01-27,04013,Maricopa,Arizona,1,0
2020-01-27,06037,Los Angeles,California,1,0
2020-01-27,06059,Orange,California,1,0
2020-01-27,17031,Cook,Illinois,1,0
2020-01-27,53061,Snohomish,Washington,1,0
2020-01-28,04013,Maricopa,Arizona,1,0
2020-01-28,06037,Los Angeles,California,1,0
2020-01-28,06059,Orange,California,1,0
2020-01-28,17031,Cook,Illinois,1,0
2020-01-28,53061,Snohomish,Washington,1,0
2020-01-29,04013,Maricopa,Arizona,1,0
2020-01-29,06037,Los Angeles,California,1,0
2020-01-29,06059,Orange,California,1,0
2020-01-29,17031,Cook,Illinois,1,0
2020-01-29,53061,Snohomish,Washington,1,0
2020-01-30,04013,Maricopa,Arizona,1,0
2020-01-30,06037,Los Angeles,California,1,0
2020-01-30,06059,Orange,California,1,0
2020-01-30,17031,Cook,Illinois,2,0
2020-01-30,53061,Snohomish,Washington,1,0
2020-01-31,04013,Maricopa,Arizona,1,0
2020-01-31,06037,Los Angeles,California,1,0
2020-01-31,06059,Orange,California,1,0
2020-01-31,06085,Santa Clara,California,1,0
2020-01-31,17031,Cook,Illinois,2,0
2020-01-31,53061,Snohomish,Washington,1,0
2020-02-01,04013,Maricopa,Arizona,1,0
2020-02-01,06037,Los Angeles,California,1,0
2020-02-01,06059,Orange,California,1,0
2020-02-01,06085,Santa Clara,California,1,0
2020-02-01,17031,Cook,Illinois,2,0
2020-02-01,25025,Suffolk,Massachusetts,1,0
2020-02-01,53061,Snohomish,Washington,1,0
2020-02-02,04013,Maricopa,Arizona,1,0
2020-02-02,06037,Los Angeles,California,1,0
2020-02-02,06059,Orange,California,1,0
2020-02-02,06075,San Francisco,California,2,0
2020-02-02,06085,Santa Clara,California,2,0
2020-02-02,17031,Cook,Illinois,2,0
2020-02-02,25025,Suffolk,Massachusetts,1,0
2020-02-02,53061,Snohomish,Washington,1,0
2020-02-03,04013,Maricopa,Arizona,1,0
2020-02-03,06037,Los Angeles,California,1,0
2020-02-03,06059,Orange,California,1,0
2020-02-03,06075,San Francisco,California,2,0
2020-02-03,06085,Santa Clara,California,2,0
2020-02-03,17031,Cook,Illinois,2,0
2020-02-03,25025,Suffolk,Massachusetts,1,0
2020-02-03,53061,Snohomish,Washington,1,0
2020-02-04,04013,Maricopa,Arizona,1,0
2020-02-04,06037,Los Angeles,California,1,0
2020-02-04,06059,Orange,California,1,0
2020-02-04,06075,San Francisco,California,2,0
2020-02-04,06085,Santa Clara,California,2,0
2020-02-04,17031,Cook,Illinois,2,0
2020-02-04,25025,Suffolk,Massachusetts,1,0
2020-02-04,53061,Snohomish,Washington,1,0
2020-02-05,04013,Maricopa,Arizona,1,0
2020-02-05,06037,Los Angeles,California,1,0
2020-02-05,06059,Orange,California,1,0
2020-02-05,06075,San Francisco,California,2,0
2020-02-05,06085,Santa Clara,California,2,0
2020-02-05,17031,Cook,Illinois,2,0
2020-02-05,25025,Suffolk,Massachusetts,1,0
2020-02-05,53061,Snohomish,Washington,1,0
2020-02-05,55025,Dane,Wisconsin,1,0
2020-02-06,04013,Maricopa,Arizona,1,0
2020-02-06,06037,Los Angeles,California,1,0
2020-02-06,06059,Orange,California,1,0
2020-02-06,06075,San Francisco,California,2,0
2020-02-06,06085,Santa Clara,California,2,0
2020-02-06,17031,Cook,Illinois,2,0
2020-02-06,25025,Suffolk,Massachusetts,1,0
2020-02-06,53061,Snohomish,Washington,1,0
2020-02-06,55025,Dane,Wisconsin,1,0
2020-02-07,04013,Maricopa,Arizona,1,0
2020-02-07,06037,Los Angeles,California,1,0
2020-02-07,06059,Orange,California,1,0
2020-02-07,06075,San Francisco,California,2,0
2020-02-07,06085,Santa Clara,California,2,0
2020-02-07,17031,Cook,Illinois,2,0
2020-02-07,25025,Suffolk,Massachusetts,1,0
2020-02-07,53061,Snohomish,Washington,1,0
2020-02-07,55025,Dane,Wisconsin,1,0
2020-02-08,04013,Maricopa,Arizona,1,0
2020-02-08,06037,Los Angeles,California,1,0
2020-02-08,06059,Orange,California,1,0
2020-02-08,06075,San Francisco,California,2,0
2020-02-08,06085,Santa Clara,California,2,0
2020-02-08,17031,Cook,Illinois,2,0
2020-02-08,25025,Suffolk,Massachusetts,1,0
2020-02-08,53061,Snohomish,Washington,1,0
2020-02-08,55025,Dane,Wisconsin,1,0
2020-02-09,04013,Maricopa,Arizona,1,0
2020-02-09,06037,Los Angeles,California,1,0
2020-02-09,06059,Orange,California,1,0
2020-02-09,06075,San Francisco,California,2,0
2020-02-09,06085,Santa Clara,California,2,0
2020-02-09,17031,Cook,Illinois,2,0
2020-02-09,25025,Suffolk,Massachusetts,1,0
2020-02-09,53061,Snohomish,Washington,1,0
2020-02-09,55025,Dane,Wisconsin,1,0
2020-02-10,04013,Maricopa,Arizona,1,0
2020-02-10,06037,Los Angeles,California,1,0
2020-02-10,06059,Orange,California,1,0
2020-02-10,06073,San Diego,California,1,0
2020-02-10,06075,San Francisco,California,2,0
2020-02-10,06085,Santa Clara,California,2,0
2020-02-10,17031,Cook,Illinois,2,0
2020-02-10,25025,Suffolk,Massachusetts,1,0
2020-02-10,53061,Snohomish,Washington,1,0
2020-02-10,55025,Dane,Wisconsin,1,0
2020-02-11,04013,Maricopa,Arizona,1,0
2020-02-11,06037,Los Angeles,California,1,0
2020-02-11,06059,Orange,California,1,0
2020-02-11,06073,San Diego,California,1,0
2020-02-11,06075,San Francisco,California,2,0
2020-02-11,06085,Santa Clara,California,2,0
2020-02-11,17031,Cook,Illinois,2,0
2020-02-11,25025,Suffolk,Massachusetts,1,0
2020-02-11,53061,Snohomish,Washington,1,0
2020-02-11,55025,Dane,Wisconsin,1,0
2020-02-12,04013,Maricopa,Arizona,1,0
2020-02-12,06037,Los Angeles,California,1,0
2020-02-12,06059,Orange,California,1,0
2020-02-12,06073,San Diego,California,1,0
2020-02-12,06075,San Francisco,California,2,0
2020-02-12,06085,Santa Clara,California,2,0
2020-02-12,17031,Cook,Illinois,2,0
2020-02-12,25025,Suffolk,Massachusetts,1,0
2020-02-12,48029,Bexar,Texas,1,0
2020-02-12,53061,Snohomish,Washington,1,0
2020-02-12,55025,Dane,Wisconsin,1,0
2020-02-13,04013,Maricopa,Arizona,1,0
2020-02-13,06037,Los Angeles,California,1,0
2020-02-13,06059,Orange,California,1,0
2020-02-13,06073,San Diego,California,1,0
2020-02-13,06075,San Francisco,California,2,0
2020-02-13,06085,Santa Clara,California,2,0
2020-02-13,17031,Cook,Illinois,2,0
2020-02-13,25025,Suffolk,Massachusetts,1,0
2020-02-13,48029,Bexar,Texas,2,0
2020-02-13,53061,Snohomish,Washington,1,0
2020-02-13,55025,Dane,Wisconsin,1,0
2020-02-14,04013,Maricopa,Arizona,1,0
2020-02-14,06037,Los Angeles,California,1,0
2020-02-14,06059,Orange,California,1,0
2020-02-14,06073,San Diego,California,1,0
2020-02-14,06075,San Francisco,California,2,0
2020-02-14,06085,Santa Clara,California,2,0
2020-02-14,17031,Cook,Illinois,2,0
2020-02-14,25025,Suffolk,Massachusetts,1,0
2020-02-14,48029,Bexar,Texas,2,0
2020-02-14,53061,Snohomish,Washington,1,0
2020-02-14,55025,Dane,Wisconsin,1,0
2020-02-15,04013,Maricopa,Arizona,1,0
2020-02-15,06037,Los Angeles,California,1,0
2020-02-15,06059,Orange,California,1,0
2020-02-15,06073,San Diego,California,1,0
2020-02-15,06075,San Francisco,California,2,0
2020-02-15,06085,Santa Clara,California,2,0
2020-02-15,17031,Cook,Illinois,2,0
2020-02-15,25025,Suffolk,Massachusetts,1,0
2020-02-15,48029,Bexar,Texas,2,0
2020-02-15,53061,Snohomish,Washington,1,0
2020-02-15,55025,Dane,Wisconsin,1,0
2020-02-16,04013,Maricopa,Arizona,1,0
2020-02-16,06037,Los Angeles,California,1,0
2020-02-16,06059,Orange,California,1,0
2020-02-16,06073,San Diego,California,1,0
2020-02-16,06075,San Francisco,California,2,0
2020-02-16,06085,Santa Clara,California,2,0
2020-02-16,17031,Cook,Illinois,2,0
2020-02-16,25025,Suffolk,Massachusetts,1,0
2020-02-16,48029,Bexar,Texas,2,0
2020-02-16,53061,Snohomish,Washington,1,0
2020-02-16,55025,Dane,Wisconsin,1,0
2020-02-17,04013,Maricopa,Arizona,1,0
2020-02-17,06037,Los Angeles,California,1,0
2020-02-17,06059,Orange,California,1,0
2020-02-17,06073,San Diego,California,1,0
2020-02-17,06075,San Francisco,California,2,0
2020-02-17,06085,Santa Clara,California,2,0
2020-02-17,17031,Cook,Illinois,2,0
2020-02-17,25025,Suffolk,Massachusetts,1,0
2020-02-17,31055,Douglas,Nebraska,10,0
2020-02-17,48029,Bexar,Texas,2,0
2020-02-17,53061,Snohomish,Washington,1,0
2020-02-17,55025,Dane,Wisconsin,1,0
2020-02-18,04013,Maricopa,Arizona,1,0
2020-02-18,06037,Los Angeles,California,1,0
2020-02-18,06059,Orange,California,1,0
2020-02-18,06073,San Diego,California,1,0
2020-02-18,06075,San Francisco,California,2,0
2020-02-18,06085,Santa Clara,California,2,0
2020-02-18,17031,Cook,Illinois,2,0
2020-02-18,25025,Suffolk,Massachusetts,1,0
2020-02-18,31055,Douglas,Nebraska,10,0
2020-02-18,48029,Bexar,Texas,2,0
2020-02-18,53061,Snohomish,Washington,1,0
2020-02-18,55025,Dane,Wisconsin,1,0
2020-02-19,04013,Maricopa,Arizona,1,0
2020-02-19,06037,Los Angeles,California,1,0
2020-02-19,06059,Orange,California,1,0
2020-02-19,06073,San Diego,California,1,0
2020-02-19,06075,San Francisco,California,2,0
2020-02-19,06085,Santa Clara,California,2,0
2020-02-19,17031,Cook,Illinois,2,0
2020-02-19,25025,Suffolk,Massachusetts,1,0
2020-02-19,31055,Douglas,Nebraska,10,0
2020-02-19,48029,Bexar,Texas,2,0
2020-02-19,53061,Snohomish,Washington,1,0
2020-02-19,55025,Dane,Wisconsin,1,0
2020-02-20,04013,Maricopa,Arizona,1,0
2020-02-20,06023,Humboldt,California,1,0
2020-02-20,06037,Los Angeles,California,1,0
2020-02-20,06059,Orange,California,1,0
2020-02-20,06073,San Diego,California,1,0
2020-02-20,06075,San Francisco,California,2,0
2020-02-20,06085,Santa Clara,California,2,0
2020-02-20,17031,Cook,Illinois,2,0
2020-02-20,25025,Suffolk,Massachusetts,1,0
2020-02-20,31055,Douglas,Nebraska,11,0
2020-02-20,48029,Bexar,Texas,2,0
2020-02-20,53061,Snohomish,Washington,1,0
2020-02-20,55025,Dane,Wisconsin,1,0
2020-02-21,04013,Maricopa,Arizona,1,0
2020-02-21,06023,Humboldt,California,1,0
2020-02-21,06037,Los Angeles,California,1,0
2020-02-21,06059,Orange,California,1,0
2020-02-21,06067,Sacramento,California,1,0
2020-02-21,06073,San Diego,California,1,0
2020-02-21,06075,San Francisco,California,2,0
2020-02-21,06085,Santa Clara,California,2,0
2020-02-21,17031,Cook,Illinois,2,0
2020-02-21,25025,Suffolk,Massachusetts,1,0
2020-02-21,31055,Douglas,Nebraska,11,0
2020-02-21,48029,Bexar,Texas,4,0
2020-02-21,53061,Snohomish,Washington,1,0
2020-02-21,55025,Dane,Wisconsin,1,0
2020-02-22,04013,Maricopa,Arizona,1,0
2020-02-22,06023,Humboldt,California,1,0
2020-02-22,06037,Los Angeles,California,1,0
2020-02-22,06059,Orange,California,1,0
2020-02-22,06067,Sacramento,California,1,0
2020-02-22,06073,San Diego,California,1,0
2020-02-22,06075,San Francisco,California,2,0
2020-02-22,06085,Santa Clara,California,2,0
2020-02-22,17031,Cook,Illinois,2,0
2020-02-22,25025,Suffolk,Massachusetts,1,0
2020-02-22,31055,Douglas,Nebraska,11,0
2020-02-22,48029,Bexar,Texas,4,0
2020-02-22,53061,Snohomish,Washington,1,0
2020-02-22,55025,Dane,Wisconsin,1,0
2020-02-23,04013,Maricopa,Arizona,1,0
2020-02-23,06023,Humboldt,California,1,0
2020-02-23,06037,Los Angeles,California,1,0
2020-02-23,06059,Orange,California,1,0
2020-02-23,06067,Sacramento,California,1,0
2020-02-23,06073,San Diego,California,1,0
2020-02-23,06075,San Francisco,California,2,0
2020-02-23,06085,Santa Clara,California,2,0
2020-02-23,17031,Cook,Illinois,2,0
2020-02-23,25025,Suffolk,Massachusetts,1,0
2020-02-23,31055,Douglas,Nebraska,11,0
2020-02-23,48029,Bexar,Texas,4,0
2020-02-23,53061,Snohomish,Washington,1,0
2020-02-23,55025,Dane,Wisconsin,1,0
2020-02-24,04013,Maricopa,Arizona,1,0
2020-02-24,06023,Humboldt,California,1,0
2020-02-24,06037,Los Angeles,California,1,0
2020-02-24,06059,Orange,California,1,0
2020-02-24,06067,Sacramento,California,1,0
2020-02-24,06073,San Diego,California,1,0
2020-02-24,06075,San Francisco,California,3,0
2020-02-24,06085,Santa Clara,California,2,0
2020-02-24,06095,Solano,California,1,0
2020-02-24,17031,Cook,Illinois,2,0
2020-02-24,25025,Suffolk,Massachusetts,1,0
2020-02-24,31055,Douglas,Nebraska,12,0
2020-02-24,48029,Bexar,Texas,10,0
2020-02-24,53061,Snohomish,Washington,1,0
2020-02-24,53063,Spokane,Washington,4,0
2020-02-24,55025,Dane,Wisconsin,1,0
2020-02-25,04013,Maricopa,Arizona,1,0
2020-02-25,06023,Humboldt,California,1,0
2020-02-25,06037,Los Angeles,California,1,0
2020-02-25,06059,Orange,California,1,0
2020-02-25,06067,Sacramento,California,1,0
2020-02-25,06073,San Diego,California,1,0
2020-02-25,06075,San Francisco,California,3,0
2020-02-25,06085,Santa Clara,California,2,0
2020-02-25,06095,Solano,California,1,0
2020-02-25,17031,Cook,Illinois,2,0
2020-02-25,25025,Suffolk,Massachusetts,1,0
2020-02-25,31055,Douglas,Nebraska,13,0
2020-02-25,48029,Bexar,Texas,10,0
2020-02-25,49035,Salt Lake,Utah,1,0
2020-02-25,53061,Snohomish,Washington,1,0
2020-02-25,53063,Spokane,Washington,4,0
2020-02-25,55025,Dane,Wisconsin,1,0
2020-02-26,04013,Maricopa,Arizona,1,0
2020-02-26,06023,Humboldt,California,1,0
2020-02-26,06037,Los Angeles,California,1,0
2020-02-26,06041,Marin,California,1,0
2020-02-26,06055,Napa,California,1,0
2020-02-26,06059,Orange,California,1,0
2020-02-26,06067,Sacramento,California,3,0
2020-02-26,06073,San Diego,California,1,0
2020-02-26,06075,San Francisco,California,3,0
2020-02-26,06085,Santa Clara,California,2,0
2020-02-26,06095,Solano,California,11,0
2020-02-26,06097,Sonoma,California,1,0
2020-02-26,17031,Cook,Illinois,2,0
2020-02-26,25025,Suffolk,Massachusetts,1,0
2020-02-26,31055,Douglas,Nebraska,13,0
2020-02-26,48029,Bexar,Texas,10,0
2020-02-26,49035,Salt Lake,Utah,1,0
2020-02-26,53061,Snohomish,Washington,1,0
2020-02-26,53063,Spokane,Washington,4,0
2020-02-26,55025,Dane,Wisconsin,1,0
2020-02-27,04013,Maricopa,Arizona,1,0
2020-02-27,06023,Humboldt,California,1,0
2020-02-27,06037,Los Angeles,California,1,0
2020-02-27,06041,Marin,California,1,0
2020-02-27,06055,Napa,California,1,0
2020-02-27,06059,Orange,California,1,0
2020-02-27,06067,Sacramento,California,3,0
2020-02-27,06073,San Diego,California,1,0
2020-02-27,06075,San Francisco,California,3,0
2020-02-27,06085,Santa Clara,California,2,0
2020-02-27,06095,Solano,California,11,0
2020-02-27,06097,Sonoma,California,1,0
2020-02-27,17031,Cook,Illinois,2,0
2020-02-27,25025,Suffolk,Massachusetts,1,0
2020-02-27,31055,Douglas,Nebraska,13,0
2020-02-27,48029,Bexar,Texas,10,0
2020-02-27,49035,Salt Lake,Utah,1,0
2020-02-27,53061,Snohomish,Washington,1,0
2020-02-27,53063,Spokane,Washington,4,0
2020-02-27,55025,Dane,Wisconsin,1,0
2020-02-28,04013,Maricopa,Arizona,1,0
2020-02-28,06023,Humboldt,California,1,0
2020-02-28,06037,Los Angeles,California,1,0
2020-02-28,06041,Marin,California,1,0
2020-02-28,06055,Napa,California,1,0
2020-02-28,06059,Orange,California,1,0
2020-02-28,06067,Sacramento,California,3,0
2020-02-28,06073,San Diego,California,1,0
2020-02-28,06075,San Francisco,California,3,0
2020-02-28,06085,Santa Clara,California,3,0
2020-02-28,06095,Solano,California,11,0
2020-02-28,06097,Sonoma,California,1,0
2020-02-28,17031,Cook,Illinois,2,0
2020-02-28,25025,Suffolk,Massachusetts,1,0
2020-02-28,31055,Douglas,Nebraska,13,0
2020-02-28,41067,Washington,Oregon,1,0
2020-02-28,48029,Bexar,Texas,11,0
2020-02-28,49035,Salt Lake,Utah,1,0
2020-02-28,53033,King,Washington,1,0
2020-02-28,53061,Snohomish,Washington,2,0
2020-02-28,53063,Spokane,Washington,4,0
2020-02-28,55025,Dane,Wisconsin,1,0
2020-02-29,04013,Maricopa,Arizona,1,0
2020-02-29,06023,Humboldt,California,1,0
2020-02-29,06037,Los Angeles,California,1,0
2020-02-29,06041,Marin,California,1,0
2020-02-29,06055,Napa,California,1,0
2020-02-29,06059,Orange,California,1,0
2020-02-29,06067,Sacramento,California,3,0
2020-02-29,06073,San Diego,California,1,0
2020-02-29,06075,San Francisco,California,3,0
2020-02-29,06085,Santa Clara,California,4,0
2020-02-29,06095,Solano,California,11,0
2020-02-29,06097,Sonoma,California,1,0
2020-02-29,17031,Cook,Illinois,3,0
2020-02-29,25025,Suffolk,Massachusetts,1,0
2020-02-29,31055,Douglas,Nebraska,13,0
2020-02-29,41067,Washington,Oregon,1,0
2020-02-29,48029,Bexar,Texas,11,0
2020-02-29,49035,Salt Lake,Utah,1,0
2020-02-29,53033,King,Washington,4,1
2020-02-29,53061,Snohomish,Washington,2,0
2020-02-29,53063,Spokane,Washington,4,0
2020-02-29,55025,Dane,Wisconsin,1,0
2020-03-01,04013,Maricopa,Arizona,1,0
2020-03-01,06001,Alameda,California,1,0
2020-03-01,06023,Humboldt,California,1,0
2020-03-01,06037,Los Angeles,California,1,0
2020-03-01,06041,Marin,California,1,0
2020-03-01,06055,Napa,California,1,0
2020-03-01,06059,Orange,California,1,0
2020-03-01,06067,Sacramento,California,3,0
2020-03-01,06073,San Diego,California,1,0
2020-03-01,06075,San Francisco,California,3,0
2020-03-01,06085,Santa Clara,California,7,0
2020-03-01,06095,Solano,California,12,0
2020-03-01,06097,Sonoma,California,1,0
2020-03-01,12057,Hillsborough,Florida,1,0
2020-03-01,12081,Manatee,Florida,1,0
2020-03-01,17031,Cook,Illinois,3,0
2020-03-01,25025,Suffolk,Massachusetts,1,0
2020-03-01,31055,Douglas,Nebraska,13,0
2020-03-01,,New York City,New York,1,0
2020-03-01,41067,Washington,Oregon,2,0
2020-03-01,,Unknown,Rhode Island,2,0
2020-03-01,48029,Bexar,Texas,11,0
2020-03-01,49035,Salt Lake,Utah,1,0
2020-03-01,53033,King,Washington,11,3
