country_region,fips,county,state,iso3166_1,iso3166_2,hospitals,icu_beds
United States,01001,Autauga,Alabama,US,AL,1,6
United States,01003,Baldwin,Alabama,US,AL,3,51
United States,01005,Barbour,Alabama,US,AL,1,5
United States,01007,Bibb,Alabama,US,AL,1,0
United States,01009,Blount,Alabama,US,AL,1,6
United States,01011,Bullock,Alabama,US,AL,1,0
United States,01013,Butler,Alabama,US,AL,1,7
United States,01015,Calhoun,Alabama,US,AL,2,24
United States,01017,Chambers,Alabama,US,AL,0,0
United States,01019,Cherokee,Alabama,US,AL,1,0
United States,01021,Chilton,Alabama,US,AL,1,6
United States,01023,Choctaw,Alabama,US,AL,1,0
United States,01025,Clarke,Alabama,US,AL,2,0
United States,01027,Clay,Alabama,US,AL,1,4
United States,01029,Cleburne,Alabama,US,AL,0,0
United States,01031,Coffee,Alabama,US,AL,1,7
United States,01033,Colbert,Alabama,US,AL,2,22
United States,01035,Conecuh,Alabama,US,AL,1,0
United States,01037,Coosa,Alabama,US,AL,0,0
United States,01039,Covington,Alabama,US,AL,2,13
United States,01041,Crenshaw,Alabama,US,AL,1,0
United States,01043,Cullman,Alabama,US,AL,1,12
United States,01045,Dale,Alabama,US,AL,1,6
United States,01047,Dallas,Alabama,US,AL,1,18
United States,01049,DeKalb,Alabama,US,AL,1,12
United States,01051,Elmore,Alabama,US,AL,2,5
United States,01053,Escambia,Alabama,US,AL,2,14
United States,01055,Etowah,Alabama,US,AL,2,56
United States,01057,Fayette,Alabama,US,AL,2,12
United States,01059,Franklin,Alabama,US,AL,2,7
United States,01061,Geneva,Alabama,US,AL,1,6
United States,01063,Greene,Alabama,US,AL,1,0
United States,01065,Hale,Alabama,US,AL,1,0
United States,01067,Henry,Alabama,US,AL,0,0
United States,01069,Houston,Alabama,US,AL,2,66
United States,01071,Jackson,Alabama,US,AL,1,10
United States,01073,Jefferson,Alabama,US,AL,8,471
United States,01075,Lamar,Alabama,US,AL,0,0
United States,01077,Lauderdale,Alabama,US,AL,1,48
United States,01079,Lawrence,Alabama,US,AL,1,6
United States,01081,Lee,Alabama,US,AL,1,28
United States,01083,Limestone,Alabama,US,AL,1,10
United States,01085,Lowndes,Alabama,US,AL,0,0
United States,01087,Macon,Alabama,US,AL,0,0
United States,01089,Madison,Alabama,US,AL,2,100
United States,01091,Marengo,Alabama,US,AL,1,5
United States,01093,Marion,Alabama,US,AL,1,4
United States,01095,Marshall,Alabama,US,AL,1,20
United States,01097,Mobile,Alabama,US,AL,4,157
United States,01099,Monroe,Alabama,US,AL,1,8
United States,01101,Montgomery,Alabama,US,AL,3,88
United States,01103,Morgan,Alabama,US,AL,1,34
United States,01105,Perry,Alabama,US,AL,0,0
United States,01107,Pickens,Alabama,US,AL,1,4
United States,01109,Pike,Alabama,US,AL,1,9
United States,01111,Randolph,Alabama,US,AL,1,0
United States,01113,Russell,Alabama,US,AL,1,8
United States,01115,St. Clair,Alabama,US,AL,1,6
United States,01117,Shelby,Alabama,US,AL,1,32
United States,01119,Sumter,Alabama,US,AL,1,0
United States,01121,Talladega,Alabama,US,AL,2,14
United States,01123,Tallapoosa,Alabama,US,AL,2,6
United States,01125,Tuscaloosa,Alabama,US,AL,1,84
United States,01127,Walker,Alabama,US,AL,1,12
United States,01129,Washington,Alabama,US,AL,1,0
United States,01131,Wilcox,Alabama,US,AL,1,0
United States,01133,Winston,Alabama,US,AL,1,4
United States,02013,Aleutians East,Alaska,US,AK,0,0
United States,02016,Aleutians West,Alaska,US,AK,0,0
United States,02020,Anchorage,Alaska,US,AK,3,73
United States,02050,Bethel,Alaska,US,AK,1,0
United States,02060,Bristol Bay,Alaska,US,AK,0,0
United States,02068,Denali,Alaska,US,AK,0,0
United States,02070,Dillingham,Alaska,US,AK,1,0
United States,02090,Fairbanks North Star,Alaska,US,AK,1,13
United States,02100,Haines,Alaska,US,AK,0,0
United States,02105,Hoonah-Angoon,Alaska,US,AK,0,0
United States,02110,Juneau,Alaska,US,AK,1,9
United States,02122,Kenai Peninsula,Alaska,US,AK,3,6
United States,02130,Ketchikan Gateway,Alaska,US,AK,1,4
United States,02150,Kodiak Island Borough,Alaska,US,AK,1,0
United States,02158,Kusilvak,Alaska,US,AK,0,0
United States,02164,Lake and Peninsula,Alaska,US,AK,0,0
United States,02170,Matanuska-Susitna,Alaska,US,AK,1,14
United States,02180,Nome,Alaska,US,AK,1,0
United States,02185,North Slope Borough,Alaska,US,AK,1,0
United States,02188,Northwest Arctic Borough,Alaska,US,AK,1,0
United States,02195,Petersburg Borough,Alaska,US,AK,1,0
United States,02198,Prince of Wales-Hyder,Alaska,US,AK,0,0
United States,02220,Sitka Borough,Alaska,US,AK,2,0
United States,02230,Skagway Municipality,Alaska,US,AK,0,0
United States,02240,Southeast Fairbanks,Alaska,US,AK,0,0
United States,02261,Valdez-Cordova,Alaska,US,AK,2,0
United States,02275,Wrangell City and Borough,Alaska,US,AK,1,0
United States,02282,Yakutat City and Borough,Alaska,US,AK,0,0
United States,02290,Yukon-Koyukuk,Alaska,US,AK,0,0
United States,04001,Apache,Arizona,US,AZ,4,0
United States,04003,Cochise,Arizona,US,AZ,4,12
United States,04005,Coconino,Arizona,US,AZ,3,41
United States,04007,Gila,Arizona,US,AZ,3,8
United States,04009,Graham,Arizona,US,AZ,1,0
United States,04011,Greenlee,Arizona,US,AZ,0,0
United States,04012,La Paz,Arizona,US,AZ,2,3
United States,04013,Maricopa,Arizona,US,AZ,34,1004
United States,04015,Mohave,Arizona,US,AZ,4,80
United States,04017,Navajo,Arizona,US,AZ,4,12
United States,04019,Pima,Arizona,US,AZ,9,296
United States,04021,Pinal,Arizona,US,AZ,4,22
United States,04023,Santa Cruz,Arizona,US,AZ,1,0
United States,04025,Yavapai,Arizona,US,AZ,2,39
United States,04027,Yuma,Arizona,US,AZ,1,42
United States,05001,Arkansas,Arkansas,US,AR,2,0
United States,05003,Ashley,Arkansas,US,AR,1,6
United States,05005,Baxter,Arkansas,US,AR,2,17
United States,05007,Benton,Arkansas,US,AR,3,30
United States,05009,Boone,Arkansas,US,AR,1,24
United States,05011,Bradley,Arkansas,US,AR,1,0
United States,05013,Calhoun,Arkansas,US,AR,0,0
United States,05015,Carroll,Arkansas,US,AR,2,0
United States,05017,Chicot,Arkansas,US,AR,1,0
United States,05019,Clark,Arkansas,US,AR,1,0
United States,05021,Clay,Arkansas,US,AR,1,0
United States,05023,Cleburne,Arkansas,US,AR,1,0
United States,05025,Cleveland,Arkansas,US,AR,0,0
United States,05027,Columbia,Arkansas,US,AR,1,6
United States,05029,Conway,Arkansas,US,AR,1,0
United States,05031,Craighead,Arkansas,US,AR,2,66
United States,05033,Crawford,Arkansas,US,AR,1,8
United States,05035,Crittenden,Arkansas,US,AR,1,0
United States,05037,Cross,Arkansas,US,AR,1,0
United States,05039,Dallas,Arkansas,US,AR,1,0
United States,05041,Desha,Arkansas,US,AR,2,0
United States,05043,Drew,Arkansas,US,AR,1,5
United States,05045,Faulkner,Arkansas,US,AR,2,25
United States,05047,Franklin,Arkansas,US,AR,1,0
United States,05049,Fulton,Arkansas,US,AR,1,0
United States,05051,Garland,Arkansas,US,AR,3,41
United States,05053,Grant,Arkansas,US,AR,0,0
United States,05055,Greene,Arkansas,US,AR,1,8
United States,05057,Hempstead,Arkansas,US,AR,1,8
United States,05059,Hot Spring,Arkansas,US,AR,1,6
United States,05061,Howard,Arkansas,US,AR,1,0
United States,05063,Independence,Arkansas,US,AR,1,12
United States,05065,Izard,Arkansas,US,AR,0,0
United States,05067,Jackson,Arkansas,US,AR,0,0
United States,05069,Jefferson,Arkansas,US,AR,1,34
United States,05071,Johnson,Arkansas,US,AR,1,8
United States,05073,Lafayette,Arkansas,US,AR,0,0
United States,05075,Lawrence,Arkansas,US,AR,1,0
United States,05077,Lee,Arkansas,US,AR,0,0
United States,05079,Lincoln,Arkansas,US,AR,0,0
United States,05081,Little River,Arkansas,US,AR,1,0
United States,05083,Logan,Arkansas,US,AR,2,0
United States,05085,Lonoke,Arkansas,US,AR,0,0
United States,05087,Madison,Arkansas,US,AR,0,0
United States,05089,Marion,Arkansas,US,AR,0,0
United States,05091,Miller,Arkansas,US,AR,0,0
United States,05093,Mississippi,Arkansas,US,AR,2,5
United States,05095,Monroe,Arkansas,US,AR,0,0
United States,05097,Montgomery,Arkansas,US,AR,0,0
United States,05099,Nevada,Arkansas,US,AR,0,0
United States,05101,Newton,Arkansas,US,AR,0,0
United States,05103,Ouachita,Arkansas,US,AR,1,8
United States,05105,Perry,Arkansas,US,AR,0,0
United States,05107,Phillips,Arkansas,US,AR,1,6
United States,05109,Pike,Arkansas,US,AR,0,0
United States,05111,Poinsett,Arkansas,US,AR,0,0
United States,05113,Polk,Arkansas,US,AR,1,6
United States,05115,Pope,Arkansas,US,AR,1,11
United States,05117,Prairie,Arkansas,US,AR,0,0
United States,05119,Pulaski,Arkansas,US,AR,8,209
United States,05121,Randolph,Arkansas,US,AR,1,2
United States,05123,St. Francis,Arkansas,US,AR,1,6
United States,05125,Saline,Arkansas,US,AR,1,16
United States,05127,Scott,Arkansas,US,AR,1,0
United States,05129,Searcy,Arkansas,US,AR,0,0
United States,05131,Sebastian,Arkansas,US,AR,2,69
United States,05133,Sevier,Arkansas,US,AR,0,0
United States,05135,Sharp,Arkansas,US,AR,0,0
United States,05137,Stone,Arkansas,US,AR,1,0
United States,05139,Union,Arkansas,US,AR,1,16
United States,05141,Van Buren,Arkansas,US,AR,1,0
United States,05143,Washington,Arkansas,US,AR,3,61
United States,05145,White,Arkansas,US,AR,1,13
United States,05147,Woodruff,Arkansas,US,AR,0,0
United States,05149,Yell,Arkansas,US,AR,2,0
United States,06001,Alameda,California,US,CA,12,282
United States,06003,Alpine,California,US,CA,0,0
United States,06005,Amador,California,US,CA,1,6
United States,06007,Butte,California,US,CA,4,43
United States,06009,Calaveras,California,US,CA,1,0
United States,06011,Colusa,California,US,CA,1,0
United States,06013,Contra Costa,California,US,CA,7,163
United States,06015,Del Norte,California,US,CA,1,6
United States,06017,El Dorado,California,US,CA,2,28
United States,06019,Fresno,California,US,CA,7,164
United States,06021,Glenn,California,US,CA,1,0
United States,06023,Humboldt,California,US,CA,4,32
United States,06025,Imperial,California,US,CA,2,28
United States,06027,Inyo,California,US,CA,2,4
United States,06029,Kern,California,US,CA,10,144
United States,06031,Kings,California,US,CA,1,22
United States,06033,Lake,California,US,CA,2,8
United States,06035,Lassen,California,US,CA,1,0
United States,06037,Los Angeles,California,US,CA,76,2126
United States,06039,Madera,California,US,CA,1,10
United States,06041,Marin,California,US,CA,3,66
United States,06043,Mariposa,California,US,CA,1,0
United States,06045,Mendocino,California,US,CA,3,14
